pl_name,period,radius,depth,star_temp,star_radius,insolation,label_raw,source,label,log_period,log_insolation,radius_star_ratio,density_proxy,planet_temp_estimate
K04206.01,0.530959357,0.69,84.4,5325.0,0.75,2764.64,FALSE POSITIVE,Kepler,0.0,0.4258945696216745,7.9250273519103995,0.9199999999999999,1.0523048489576732,14151.569436319644
K04207.01,0.701944362,0.8,210.8,4236.0,0.539,535.78,CANDIDATE,Kepler,-1.0,0.5317713398401268,6.285588327139239,1.484230055658627,1.012872687162064,8300.11273444371
K04208.01,3.05772668,1.23,311.0,4483.0,0.731,141.1,CANDIDATE,Kepler,-1.0,1.400622885759235,4.956531035103055,1.6826265389876882,0.5838563433442572,4901.320454666632
K04209.01,9.9092109,2.35,942.0,5396.0,0.702,54.54,CANDIDATE,Kepler,-1.0,2.3896074690898517,4.017103481878653,3.347578347578348,0.5093799124982801,3211.4854843829517
K04275.01,0.996864568,0.77,86.7,5418.0,0.782,1505.33,FALSE POSITIVE,Kepler,0.0,0.6915782344073623,7.317431507861766,0.9846547314578005,0.7716137389696283,10730.23663024627
K07661.01,0.673684895,0.7,51.1,5645.0,0.951,3803.56,FALSE POSITIVE,Kepler,0.0,0.5150277195818711,8.24395562628996,0.7360672975814931,0.9108779031485827,14997.221366556494
K04276.01,56.644452,2.44,104.6,6237.0,2.295,68.37,CONFIRMED,Kepler,1.0,4.054294006177765,4.23945449739721,1.0631808278867103,0.16543151231404857,2807.200298222087
K04277.01,1.710319812,0.56,43.6,5774.0,0.825,978.84,FALSE POSITIVE,Kepler,0.0,0.997066639736882,6.887389293029265,0.6787878787878789,0.39156434827572634,8967.060351427524
K04278.01,5.62978034,1.61,379.2,5497.0,0.839,154.59,FALSE POSITIVE,Kepler,0.0,1.8915716724272007,5.047224342326872,1.9189511323003579,0.508742761023295,4745.106830483171
K04279.01,1.050852976,45.89,41694.0,5780.0,1.0,2423.97,FALSE POSITIVE,Kepler,0.0,0.7182557924642611,7.79357443216104,45.89,44.39731968168905,12607.874040980141
K04346.01,6.39269778,1.21,174.3,5248.0,0.943,148.31,CANDIDATE,Kepler,-1.0,2.0004927265293215,5.006024681538572,1.2831389183457051,0.3512874124185871,4507.052202326255
K04347.01,3.0570982,0.99,144.0,6021.0,0.819,493.09,CONFIRMED,Kepler,1.0,1.4004679890090157,6.202717686828843,1.208791208791209,0.4699975582772668,6968.525371398723
K04348.01,365.25921,2.39,529.0,5993.0,1.042,1.23,FALSE POSITIVE,Kepler,0.0,5.903341306772782,0.8020015854720274,2.293666026871401,0.046773203663365764,715.7519693196022
