pl_name,period,radius,depth,star_temp,star_radius,insolation,label_raw,source,label,log_period,log_insolation,radius_star_ratio,density_proxy,planet_temp_estimate
K2-31 b,1.25781300511,12.57069193,0.73853107,5340.0,1.02904,1564.287,CONFIRMED,K2,1.0,0.8143966479093298,7.3558244727424595,12.215941003265181,10.78818692374223,10800.263395034099
K2-32 b,17.97586029496,4.78034841,0.31594997,5274.0,0.851795,29.794,CONFIRMED,K2,1.0,2.9431676605917554,3.427319865807727,5.6120878967357175,0.6966261313161602,2567.129803618937
K2-329 b,12.45636917022,8.7723254,1.03526424,5278.0,0.843307,47.7343,CONFIRMED,K2,1.0,2.5994525382154268,3.886383094292154,10.402291692112124,1.6325021140540017,3070.7998109997075
K2-333 b,14.75650149447,5.7395617,0.2238483,5790.7,1.20174,102.1266,CONFIRMED,K2,1.0,2.7572530733956095,4.635957359686001,4.776042821242532,0.9540177567382606,3695.1291609649056
K2-334 b,5.11383503556,5.67086336,0.1290375,6315.7,1.50876,832.2294,CONFIRMED,K2,1.0,1.8105542416784026,6.725308994409996,3.758625202152761,1.9105190548506483,7670.845195634997
K2-344 b,3.3557219,1.9149,0.1101,3807.0,0.56,37.2966,CONFIRMED,K2,1.0,1.4714903600574578,3.6453611194001048,3.4194642857142856,0.8543230507460885,3477.5141946403737
K2-348 b,4.6886342,3.36071,0.1469,4954.0,0.87,133.083,CONFIRMED,K2,1.0,1.7384701841758075,4.898459011185134,3.8628850574712645,1.199683827162256,4771.747506007932
K2-370 b,2.1408063,2.59639,0.0628,5372.0,1.0,428.205,CONFIRMED,K2,1.0,1.1444795503964278,6.061934660269302,2.59639,1.5630936964192488,8209.79511812665
K2-388 b,6.3392677,3.91968,0.1739,5289.0,0.93,120.002,CONFIRMED,K2,1.0,1.9932390692568565,4.79580707438576,4.214709677419354,1.144347394200813,4529.815333174766
K2-39 b,4.60808540736,7.04461252,0.04355578,4911.0,3.12057,378.5469,CONFIRMED,K2,1.0,1.7242093791740951,5.938978172862567,2.257476204667737,2.543958937916584,9036.736956397512
K2-390 b,3.3129214,4.28877,0.1815,5512.0,0.98,260.965,CONFIRMED,K2,1.0,1.4616154935256156,5.568210907051194,4.376295918367347,1.9298579123566675,6703.501066207888
K2-394 b,5.0957983,1.92318,0.0714,4197.0,0.7,28.5068,CONFIRMED,K2,1.0,1.8075997305666083,3.384620745257354,2.7474,0.6494490923833756,3478.2987172233998
K2-403 b,33.5920255,9.88421,0.3352,5468.0,0.91,134.883,CONFIRMED,K2,1.0,3.5436231786211883,4.911794221353047,10.86176923076923,0.9494042459451881,2012.4083403339164
K2-405 b,3.4355113,4.18368,0.258,4870.0,0.8,146.577,CONFIRMED,K2,1.0,1.489642896602359,4.9943500734658866,5.2296,1.8375149085260274,5254.885605100314
K2-415 b,4.01798053813,1.1017624,0.28089118,3166.0,0.194357,4.644,CONFIRMED,K2,1.0,1.6130275695249916,1.7305930339905675,5.668755949103968,0.4359293010623231,1557.0124732545623
K2-43 b,3.4712802624,4.2314265,0.42803883,3696.0,0.563,38.8531,CONFIRMED,K2,1.0,1.4976747797873644,3.685200193929551,7.515855239786857,1.8456967562040558,3328.329564227751
K2-45 b,1.72926812424,12.6001269,2.30432055,4377.0,0.766495,313.9308,CONFIRMED,K2,1.0,1.0040334868963223,5.752352932152207,16.438628953874453,8.745809800416298,6516.059537278557
K2-55 b,2.849282,4.75272,0.401,4279.0,0.74,115.305,CONFIRMED,K2,1.0,1.347886637401123,4.756216050861871,6.422594594594595,2.3647502108077507,4876.131747801667
K2-60 b,3.0026215,14.0672,0.504,5630.0,1.45,4289.27,CONFIRMED,K2,1.0,1.3869495214554806,8.364104947004545,9.70151724137931,6.758867542524903,8748.369204487215
K2-77 b,8.20008746059,2.79975419,0.10795927,4865.6,0.793476,58.2025,CONFIRMED,K2,1.0,2.219212990595677,4.08096377072804,3.528467389057766,0.6885057637531357,3384.379535984189
K2-79 b,21.99036193738,4.60346552,0.11223021,5294.0,1.33417,56.4701,CONFIRMED,K2,1.0,3.135075081903885,4.0512648125564175,3.4504339926695997,0.5864936436912465,2915.804056917149
TRAPPIST-1 b,1.51087081,1.086,0.7266,2559.0,0.117,4.25,CONFIRMED,K2,1.0,0.9206296292302061,1.6582280766035324,9.282051282051283,0.8247929461868706,1592.3354122527571
TRAPPIST-1 c,2.421937,1.097,0.7123,2566.0,0.1192,2.214,CONFIRMED,K2,1.0,1.230206765014148,1.1675162673153208,9.203020134228188,0.6082723372501134,1272.9119420535787
TRAPPIST-1 d,4.04961,0.772,0.367,2559.0,0.117,1.143,CONFIRMED,K2,1.0,1.619311012582282,0.76220671649144,6.598290598290598,0.30386114278484094,972.6164684188128
TRAPPIST-1 e,6.101013,0.92,0.5012,2566.0,0.1192,0.646,CONFIRMED,K2,1.0,1.9602374499263473,0.4983481022548781,7.718120805369128,0.27554118834674896,802.0081963758875
TRAPPIST-1 f,9.20754,1.045,0.6465,2566.0,0.1192,0.373,CONFIRMED,K2,1.0,2.3231266628911555,0.316998126785834,8.766778523489933,0.23787778229134748,652.8418319555618
TRAPPIST-1 g,12.35294,1.127,0.782,2559.0,0.117,0.258,CONFIRMED,K2,1.0,2.591736585319456,0.2295231582782488,9.632478632478632,0.21090021770647657,556.8818364332548
TRAPPIST-1 h,18.772866,0.755,0.3375,2566.0,0.1192,0.144,CONFIRMED,K2,1.0,2.9843105937977095,0.13453089295760615,6.333892617449664,0.10688741272600039,457.2087063566767
V1298 Tau b,24.13861,10.22,0.5,4970.0,1.314,33.2,CONFIRMED,K2,1.0,3.2244049112596262,3.5322256440685598,7.777777777777778,1.2236091721307287,2592.8831443790027
WASP-107 b,5.72226,12.8433,2.5549,4233.2,0.73,37.0251,CONFIRMED,K2,1.0,1.905424407519496,3.6382464679906823,17.593561643835617,4.014500989339442,3380.893000421079
WASP-118 b,4.0460644,18.2851,0.8004,6404.0,1.81,6586.47,CONFIRMED,K2,1.0,1.61860861272165,8.792924638759551,10.102265193370165,7.201265325017799,9577.655622333968
WASP-151 b,4.53346998242,13.22170304,1.1929862,5846.0,1.1971,501.4021,CONFIRMED,K2,1.0,1.7108151020075284,6.219400795081559,11.04477741207919,4.826884449004752,6717.2831668716135
WASP-47 b,4.1591488,12.1616,1.28,5576.0,1.11,417.295,CONFIRMED,K2,1.0,1.6407716046455594,6.036186925233037,10.956396396396395,4.702416324468596,6441.203608359345
WASP-55 b,4.46563432994,14.64677635,1.73337557,6070.0,1.09036,471.6016,CONFIRMED,K2,1.0,1.6984801862449852,6.158252750273949,13.432972917201658,5.401154638215627,6706.826471596494
WASP-75 b,2.4841975,13.3413,1.0361,6089.0,1.28,383.047,CONFIRMED,K2,1.0,1.2482377450988384,5.950764940931301,10.422890625,7.273454668810591,9773.337600130024
K00752.01,9.48803557,2.26,615.8,5455.0,0.927,93.59,CONFIRMED,Kepler,1.0,2.3502351379506896,4.549551762225079,2.437971952535059,0.5042635416319077,3812.6897957901383
K00752.02,54.4183827,2.83,874.8,5455.0,0.927,9.11,CONFIRMED,Kepler,1.0,4.014911356403454,2.3135250330323798,3.052858683926645,0.19707098253264885,1592.013730011177
K00754.01,1.736952453,33.46,8079.2,5805.0,0.791,891.96,FALSE POSITIVE,Kepler,0.0,1.0068450579675676,6.7945417870401235,42.30088495575221,23.156201306566174,8759.544088008186
K00755.01,2.525591777,2.75,603.3,6031.0,1.046,926.16,CONFIRMED,Kepler,1.0,1.2600483021739617,6.832126150456476,2.62906309751434,1.482827359572855,8678.778320749276
K00756.01,11.09432054,3.9,1517.5,6046.0,0.972,114.81,CONFIRMED,Kepler,1.0,2.492735965551391,4.751950917196286,4.012345679012346,0.784026605930472,4001.620716403827
K00756.02,4.13443512,2.77,686.0,6046.0,0.972,427.65,CONFIRMED,Kepler,1.0,1.635969831487176,6.060640735124765,2.8497942386831276,1.075314862157565,6555.08287697376
K00756.03,2.56658897,1.59,226.5,6046.0,0.972,807.74,CONFIRMED,Kepler,1.0,1.2716096684503242,6.695477480978234,1.6358024691358026,0.8481895326861902,8319.708608151515
K00114.01,7.36178958,39.21,233.7,6227.0,1.958,767.22,FALSE POSITIVE,Kepler,0.0,2.123672468781356,6.644076150459651,20.025536261491318,10.361148756781503,7180.893928169379
K00757.01,16.06864674,5.76,4914.3,5031.0,0.848,30.75,CONFIRMED,Kepler,1.0,2.8372432565694368,3.457892725338701,6.7924528301886795,0.9045577134082985,2584.3277683019282
K00001.01,2.470613377,13.04,14231.0,5820.0,0.964,761.46,CONFIRMED,Kepler,1.0,1.244331344043603,6.636550048089151,13.526970954356846,7.135225982225637,8129.130761870375
K00002.01,2.204735417,16.1,6674.7,6440.0,1.952,4148.92,CONFIRMED,Kepler,1.0,1.1646295337668027,8.330844335930504,8.247950819672132,9.504331091205835,13549.789140586678
K00010.01,3.522498429,14.59,9145.7,6225.0,1.451,1264.67,CONFIRMED,Kepler,1.0,1.509064590913013,7.143356905218376,10.055134390075809,6.302140578176547,8933.726652269226
K00112.02,3.709214104,1.16,131.1,5833.0,1.022,500.46,CONFIRMED,Kepler,1.0,1.5495210372059527,6.217523843503089,1.1350293542074363,0.48410182614426506,6846.387484874038
K00742.01,11.521446064,150.51,17984.0,5795.0,0.848,75.88,FALSE POSITIVE,Kepler,0.0,2.527442859321793,4.342245764662037,177.4882075471698,29.504891937227676,3515.465765760624
K00743.01,19.40393776,7.18,8918.7,5043.0,0.68,17.69,FALSE POSITIVE,Kepler,0.0,3.0157279096737497,2.9279886214674717,10.558823529411763,0.994331494813817,2110.9769451424972
K00744.01,19.221388942,49.29,74284.0,6117.0,0.947,55.97,FALSE POSITIVE,Kepler,0.0,3.0067409027267433,4.042524813492304,52.04857444561774,6.8691390384138895,3036.0302109435906
K00745.01,16.46983774,7.94,10479.0,5152.0,0.786,29.61,FALSE POSITIVE,Kepler,0.0,2.86047583618068,3.421326752957321,10.101781170483461,1.2265755085463204,2516.6769372174526
K00746.01,9.27358173,2.47,1288.3,4856.0,0.696,41.85,CONFIRMED,Kepler,1.0,2.329575719711571,3.7577056450437887,3.5488505747126444,0.5595839944200619,2974.709415764069
K00747.01,6.02930329,2.85,1912.7,4537.0,0.672,50.04,CONFIRMED,Kepler,1.0,1.9500875956481645,3.9326096390365346,4.241071428571429,0.8603333791516535,3386.9193297908414
K00748.01,2.696370652,1.58,397.9,4989.0,0.819,305.34,FALSE POSITIVE,Kepler,0.0,1.307351433383305,5.7246955962364074,1.9291819291819294,0.8155877471619482,6148.237864309087
K00749.01,5.349553819,2.55,831.0,5185.0,0.91,168.99,CONFIRMED,Kepler,1.0,1.8483845457115093,5.135739611790679,2.802197802197802,0.8336718547583875,4781.847024213621
K00749.02,3.94105221,1.7,363.3,5185.0,0.91,253.15,CONFIRMED,Kepler,1.0,1.5975783064946916,5.537924643892912,1.868131868131868,0.6813560698294143,5571.195067012776
K00749.03,8.10904807,1.3,217.4,5185.0,0.91,97.03,CONFIRMED,Kepler,1.0,2.2092682129471237,4.585273554273635,1.4285714285714286,0.3220797613197231,3883.9132548224416
K00113.01,386.6030528,41.5,24927.0,5543.0,1.58,1.84,FALSE POSITIVE,Kepler,0.0,5.959981756146585,1.0438040521731147,26.265822784810126,0.7819960823114301,792.3659138194251
K00750.01,21.67699193,2.95,857.2,4954.0,0.828,18.64,CONFIRMED,Kepler,1.0,3.121350839110908,2.97756830292632,3.56280193236715,0.3794512653153679,2164.9938392132367
